filename,mmol/g_working_capacity,selectivity
DB5-hypotheticalMOF_5065385_1_0_2_15_16_2,0.19424,1.67544
DB12-OQOXAV_clean,1.393388,482.22868
DB12-IBUBAL_clean,1.251929,94.94492
DB12-SETRAM_clean,0.753207,20.653535
DB5-hypotheticalMOF_5066487_0_0_2_8_2_8,0.995866,63.231245
DB7-ddmof_17842,0.244146,5.569185
DB12-YOPMAS_clean,0.213935,179.02156
DB12-CAKFEB_clean,0.138224,3.729135
DB0-m2_o13_o24_f0_pcu.sym.27,0.236046,9.41556
DB12-NORJEL_freeONLY,1.050809,80.524425
DB12-XUCNOZ_clean,1.527575,154.288965
DB5-hypotheticalMOF_17904_2_0_1_21_26_6,0.147028,1.939275
DB12-WAHGIY_clean,1.424731,197.278805
DB15-wmb_N144_E44_opt,1.389718,18.564825
DB12-CAGXIU_clean,1.448615,224.965675
DB0-m9_o17_o24_f0_sra.sym.59,2.232115,137.76913
DB0-m2_o11_o20_f0_pcu.sym.76,0.225608,3.276385
DB12-LUFNEG_freeONLY,2.832072,248.091205
DB0-m3_o16_o24_f0_pcu.sym.46,0.772947,38.062235
DB5-hypotheticalMOF_5066498_1_1_2_8_21_0,0.014341,0.154315
DB12-IHERIY_freeONLY,0.635884,334.518475
DB0-m3_o10_o14_f0_pcu.sym.29,2.304645,183.883975
DB0-m3_o12_o22_f0_pcu.sym.137,1.293781,71.444775
DB0-m3_o7_o24_f0_pcu.sym.90,0.522328,8.971195
DB0-m2_o7_o24_f0_pcu.sym.6,0.138783,2.81068
DB0-m2_o8_o23_f0_pcu.sym.93,0.388782,6.78166
DB5-hypotheticalMOF_5052075_0_0_1_27_11_5,0.542129,13.32405
DB0-m23_o20_o22_f0_pcu,0.849663,45.422485
DB12-REDYEG_freeONLY,0.972337,137.16922
DB12-FONPUV_freeONLY,1.572961,145.64818
DB0-m3_o27_o27_f0_pcu.sym.107,0.453359,6.181105
DB5-hypotheticalMOF_6002802_0_0_3_3_7_7,2.201265,204.943545
DB5-hypotheticalMOF_5037976_3_1_1_18_16_2,0.968318,31.78085
DB0-m2_o22_o23_f0_pcu.sym.2,0.390051,9.55513
DB0-m3_o18_o149_f0_fsc.sym.42,3.018888,106.00872
DB0-m3_o147_o159_f0_fsc.sym.5,3.040982,151.31131
DB5-hypotheticalMOF_5082683_0_0_2_29_8_5,1.134781,34.40171
DB0-m3_o12_o13_f0_pcu.sym.39,0.907486,34.04611
DB13-dia-Syn033854,0.223259,1.18059
DB12-OLANEW_clean,2.978305,163.114445
DB5-hypotheticalMOF_5059817_1_0_2_12_1_5,1.129063,72.61709
DB0-m3_o1530_o155_f0_fsc.sym.14,1.707565,50.89301
DB7-ddmof_4070,0.359831,24.93138
DB5-hypotheticalMOF_5064587_2_0_2_15_1_4,0.249425,2.99427
DB0-m3_o12_o19_f0_pcu.sym.6,0.154017,3.592055
DB5-hypotheticalMOF_5067617_1_0_2_20_17_7,0.558908,6.327625
DB12-CADZIT_freeONLY,2.218507,249.99114
DB15-pcu_N123_E112_opt,0.867391,16.84476
DB12-UXABUR_clean,0.184623,4.452925
DB12-IBUYAH_freeONLY,0.433719,50.35134
DB12-QOHYET_clean,2.34406,177.232155
DB0-m3_o1490_o22_f0_fsc.sym.8,2.264731,148.456765
DB12-LAVTOT_clean,1.31337,43.94282
DB0-m2_o12_o19_f0_pcu.sym.24,0.554243,14.896695
DB12-KIPKEB_clean,0.543809,22.13797
DB12-GOQXAN_clean,2.649772,155.17621
DB0-m2_o13_o24_f0_pcu.sym.71,1.934826,81.592345
DB0-m3_o24_o146_f0_fsc.sym.8,1.479869,68.69197
DB0-m3_o12_o28_f0_pcu.sym.54,0.340468,9.12761
DB0-m3_o24_o78_f0_fsc.sym.28,2.134025,138.16661
DB12-MAWTUC_clean,3.11067,150.735765
DB12-ATEYED_freeONLY,1.085544,30.551735
DB0-m2_o22_o25_f0_pcu.sym.19,0.762208,17.664365
DB12-BEFMAC_freeONLY,1.085231,302.558215
DB0-m9_o4_o17_f0_sra.sym.85,1.957353,93.70109
DB5-hypotheticalMOF_5051370_1_1_1_27_2_6,2.113642,93.50011
DB0-m3_o11_o19_f0_pcu.sym.11,0.366396,8.131605
DB5-hypotheticalMOF_5077641_2_0_2_27_18_4,0.140133,0.82946
DB0-m2_o12_o16_f0_pcu.sym.94,0.60365,12.77551
DB12-TORKAO_freeONLY,1.766251,115.57439
DB7-ddmof_5554,0.213358,3.285575
DB12-FUHMOM_clean,2.290013,303.975345
DB1-Zn2O8N2-AZO_A-irmof7_A_No661,1.206905,38.61309
DB12-ic501898x_si_005_clean,1.558298,141.34388
DB0-m9_o1_o22_f0_sra.sym.72,2.151219,207.31268
DB0-m3_o8_o24_f0_pcu.sym.107,0.383246,10.86211
DB0-m3_o480_o22_f0_fsc.sym.9,1.00111,92.05878
DB5-hypotheticalMOF_28962_0_0_2_25_17_14,0.521014,8.262725
DB12-NANZOS_clean,0.267274,6.592645
DB0-m2_o10_o16_f0_pcu.sym.23,1.516471,78.45983
DB0-m3_o16_o19_f0_pcu.sym.53,0.327968,9.595625
